"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","5_1"
"518e9b8",-2884.051013946533,"unknown",-2878.283706665039,-2872.041990041733,0.0,6.311277151107788,25.402759790420532,30.87281894683838,58.855708599090576,65.04287338256836,80.245201587677,"unknown",85.729727268219,92.78016233444214,109.78572368621826,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",116.37054562568665,"unknown","unknown",122.90314722061157,"","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",8.768681764602661,"unknown",29.25806951522827,"unknown",39.9496066570282,"unknown","unknown","unknown",53.878889083862305,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",8.812411069869995,"unknown",16.668375253677368,"unknown",37.93076729774475,"unknown","unknown","unknown",54.36587977409363,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"89f120b",-2909.803650379181,"unknown",-2904.0645921230316,-2897.6010649204254,0.0,7.101185321807861,16.21984553337097,23.403163194656372,26.683715343475342,33.705902099609375,101.56475830078125,"unknown",106.81040525436401,112.74741744995117,115.62299370765686,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",121.50331497192383,"unknown","unknown",127.6791501045227,"","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",12.390750646591187,"unknown",35.565838098526,"unknown",59.2710976600647,"unknown","unknown","unknown",74.93595337867737,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"8d2da97",-1765.240430355072,"unknown",-1759.340277671814,-1753.9245131015778,0.0,6.8292176723480225,49.507906436920166,55.36613440513611,65.05176520347595,70.51006579399109,79.25469875335693,86.3531813621521,"unknown",91.86439538002014,101.04784345626831,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",106.84848046302795,"unknown","unknown",113.27761483192444,"","",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",12.8783118724823,"unknown",30.716733932495117,"unknown",49.86120843887329,"unknown","unknown","unknown",65.76953935623169,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",10.915931224822998,"unknown",52.43304705619812,"unknown",64.08004999160767,"unknown","unknown","unknown",77.55696415901184,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",12.615137338638306,"unknown",46.827547550201416,"unknown",140.4902265071869,"unknown","unknown","unknown",153.8529303073883,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",14.89777660369873,"unknown",40.37405490875244,"unknown",69.6255555152893,"unknown","unknown","unknown",82.73285675048828,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",443513.34670710564,"unknown",1484201.926521778,"unknown",1484214.8425827026,"unknown","unknown","unknown",1484229.9078576565,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",15.676592826843262,"unknown",61.99754285812378,"unknown",179.8538920879364,"unknown","unknown","unknown",196.02191758155823,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
