"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-13420.434839963913,"unknown",-13414.027368068695,-13408.189950227737,0.0,5.546919345855713,7.275809288024902,13.457681655883789,15.420038223266602,21.248918771743774,52.3740599155426,"unknown",59.137773275375366,65.7466721534729,68.61788845062256,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.15972757339478,"unknown","unknown",79.84532237052917
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-8166.180214166641,"unknown",-8160.074606895447,-8154.18806552887,0.0,6.68964147567749,23.668170928955078,29.274005651474,40.352311849594116,46.44038510322571,50.23304557800293,"unknown",55.74481010437012,61.85050845146179,75.08029317855835,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",81.3231692314148,"unknown","unknown",87.80912375450134
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-98949.90859675407,"unknown",-98944.0967040062,-98938.15561819077,0.0,5.400667905807495,10.43707275390625,16.651121377944946,24.914758682250977,30.84317421913147,34.66355657577515,"unknown",40.29959774017334,46.728421688079834,49.498735427856445,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",55.48690438270569,"unknown","unknown",61.81475830078125
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-91928.5506863594,"unknown",-91922.97929430008,-91916.59135127068,0.0,6.412797212600708,11.80892038345337,17.484535217285156,165.6404287815094,171.52913784980774,180.76151061058044,"unknown",186.26891231536865,191.81268215179443,201.27520895004272,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",207.39942741394043,"unknown","unknown",213.78876280784607
"ac6f3f6",-30.653889179229736,"unknown",-23.812606811523438,-17.323301076889038,0.0,5.990328550338745,1845.687807559967,1852.3950719833374,1861.995710849762,1867.8914642333984,1875.3565394878387,1881.5401554107666,"unknown",1888.5258440971375,1941.017676115036,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1947.5134890079498,"unknown","unknown",1955.6030831336975
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-2426.6381006240845,"unknown",-2420.1366164684296,-2413.2436225414276,0.0,6.678877353668213,12.740525245666504,20.224282026290894,290.6172413825989,296.3074851036072,351.59911465644836,358.47830033302307,"unknown",364.2645192146301,376.17141366004944,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",383.2133686542511,"unknown","unknown",388.3752028942108
"4e53c5c",-11825.4424431324,"unknown",-11818.376920461655,-11811.430772304535,0.0,5.721618175506592,23.722120761871338,29.262879610061646,50.6157066822052,57.592867612838745,74.02008366584778,79.93081068992615,"unknown",85.97640538215637,87.88785171508789,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",93.87779641151428,"unknown","unknown",100.10208630561829
