"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-6036.123714208603,"unknown",-6029.061199188232,-6023.305588960648,0.0,5.510616064071655,4685.770902633667,4693.079236507416,4694.234717130661,4700.758894205093,4712.78187584877,4719.339933872223,"unknown",4726.361721038818,4728.070456981659,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",4733.381782531738,"unknown","unknown",4739.696021080017,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-100025.6935415268,"unknown",-100019.30634689331,-100013.59339570999,0.0,6.571167945861816,8.169785499572754,13.738723278045654,53.72646141052246,68.17573928833008,78.04620575904846,84.24842810630798,"unknown",91.20904636383057,92.80214285850525,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",99.0010142326355,"unknown","unknown",105.16468906402588,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-25275.31028676033,"unknown",-25269.684668302536,-25263.157784700394,0.0,5.514622211456299,21.69302248954773,28.956289529800415,40.42896914482117,47.45477628707886,57.37707257270813,62.81337547302246,"unknown",69.55156946182251,71.4098801612854,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",78.28085780143738,"unknown","unknown",84.37063932418823,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-8847.149595737457,"unknown",-8840.134486913681,-8834.287831544876,0.0,6.382853746414185,7.695245742797852,14.825067043304443,16.020776510238647,22.475954055786133,35.23536562919617,"unknown",42.46853303909302,49.18766760826111,58.6943564414978,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.76040649414062,"unknown","unknown",72.25838303565979,""
"ac6f3f6",-48.177191972732544,"unknown",-41.19804239273071,-34.581422090530396,0.0,6.848722457885742,19.845414638519287,25.996307134628296,81.5346691608429,87.193927526474,99.00217270851135,"unknown",105.13897848129272,111.4224624633789,124.21046853065491,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",130.22781538963318,"unknown","unknown",135.66683053970337,""
"62447b9",-177081.4452867508,"unknown",-177076.17865133286,-177070.06984329224,0.0,5.665254831314087,8.421211242675781,15.35683012008667,71.50536847114563,77.37686133384705,90.22476696968079,97.5456268787384,"unknown",103.7435314655304,106.53620958328247,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",112.48398470878601,"unknown","unknown",118.9037446975708,""
"20f3e2e",-12652.850010156631,"unknown",-12646.531712770462,-12639.725534915924,0.0,7.071619033813477,12.18079423904419,19.23536705970764,37.69845485687256,43.51038432121277,50.577118158340454,"unknown",56.234737157821655,63.27721190452576,64.57085132598877,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.90377616882324,"unknown","unknown",77.44130110740662,""
"4e53c5c",-3896.9007716178894,"unknown",-3891.012453317642,-3885.570684671402,0.0,5.815825700759888,13.42280125617981,20.56125569343567,45.50774097442627,51.60399627685547,60.945712089538574,"unknown",67.18319892883301,73.61584758758545,75.34987163543701,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.18452835083008,"unknown","unknown",87.79835867881775,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-55807.14032077789,"unknown",-55801.639541864395,-55795.638387680054,0.0,6.307180881500244,12.706030368804932,19.320066690444946,66.39534878730774,72.07048749923706,84.43115067481995,90.93816781044006,"unknown",96.83690047264099,98.55969405174255,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",105.62606525421143,"unknown","unknown",112.23607921600342,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-26218.954962730408,"unknown",-26213.01838707924,-26206.5120241642,0.0,5.733476161956787,11.753551483154297,17.556768655776978,35.13688802719116,41.067861557006836,57.06485843658447,62.29052186012268,"unknown",68.64714050292969,70.2479305267334,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.67615604400635,"unknown","unknown",82.23391819000244,""
"ea8c0d6",-338007.62746810913,"unknown",-338001.59934544563,-337994.7626423836,0.0,6.072701692581177,8.842796802520752,14.191750526428223,44.95669341087341,50.6824586391449,56.03442597389221,62.84423804283142,"unknown",69.12858581542969,71.53301501274109,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",78.56284499168396,"unknown","unknown",84.89022016525269,""
"7cf831f",-335.19780230522156,"unknown",-329.1927499771118,-323.491575717926,0.0,5.977899551391602,5448.361974477768,5455.647023200989,5785.260541677475,5791.180077791214,5828.183307647705,5833.686456680298,"unknown",5839.052700042725,5844.1130039691925,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",5850.500693798065,"unknown","unknown",5857.378644227982,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-24.86568522453308,"unknown",-17.74334692955017,-11.626906633377075,0.0,5.446565628051758,7.0478105545043945,12.660844087600708,28.22200059890747,34.76140594482422,54.163036823272705,"unknown",60.02412700653076,66.92030715942383,1158205.7715039253,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1158212.7516403198,"unknown","unknown",1158218.0861902237,""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-188570.90447425842,"unknown",-188563.6884291172,-188556.8181219101,0.0,6.030250787734985,11.818645000457764,18.78313183784485,41.80638122558594,48.25490975379944,122040.69537568092,122047.0440158844,"unknown",122053.90034389496,122069.9496383667,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",122075.47118735313,"unknown","unknown",122081.58901381493,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-4710.74790930748,"unknown",-4704.200922012329,-4698.785797834396,0.0,5.445903301239014,6.951733589172363,13.185160398483276,14.630661725997925,20.915093660354614,41.897682189941406,"unknown",47.53858160972595,53.924803733825684,55.33142042160034,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.632033348083496,"unknown","unknown",68.9749755859375,""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-2643.442461013794,"unknown",-2636.8331611156464,-2631.0598340034485,0.0,5.603207111358643,12.972001791000366,19.210638761520386,39.90989446640015,46.858368158340454,60.80789303779602,"unknown",66.65994143486023,72.18678879737854,77.6896960735321,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",84.12913084030151,"unknown","unknown",90.03176140785217,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-7203.005539178848,"unknown",-7196.857018947601,-7191.05076956749,0.0,6.627921104431152,8.577372789382935,14.692383766174316,27.310441970825195,32.78483986854553,45.25294613838196,51.63087463378906,"unknown",57.58088397979736,61.31271505355835,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.93333649635315,"unknown","unknown",74.84561896324158,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-153.71031188964844,"unknown",-147.09982299804688,-140.30032873153687,0.0,5.4971723556518555,7.971538782119751,14.116148948669434,29.27291750907898,36.42512774467468,67.51420950889587,73.40977835655212,"unknown",78.83696627616882,81.37270331382751,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.86301636695862,"unknown","unknown",95.0582971572876,""
"bf983ba",-7042.575422525406,"unknown",-7036.30965256691,-7030.761564016342,0.0,6.954919815063477,16.36021876335144,21.807279586791992,31.676604747772217,37.27902865409851,42.69266319274902,49.51144599914551,"unknown",56.2933087348938,58.33457136154175,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.30960965156555,"unknown","unknown",71.12959814071655,""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-2937.9848465919495,"unknown",-2931.0687730312347,-2924.9915475845337,0.0,6.755948066711426,13.736595869064331,19.24256420135498,49.48223638534546,55.28240251541138,64.01570844650269,70.68734121322632,"unknown",76.27631449699402,81.72762751579285,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.6357843875885,"unknown","unknown",93.46729254722595,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-34039.24297976494,"unknown",-34032.92177152634,-34025.89472937584,0.0,5.9090282917022705,7.566241025924683,13.158720254898071,25.682493209838867,32.06989645957947,45.2724289894104,52.54040884971619,"unknown",59.280062437057495,61.80433225631714,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.52380466461182,"unknown","unknown",74.17319989204407,""
"2dffb9e",-1011.244297504425,"unknown",-1004.5450420379639,-999.0068211555481,0.0,5.785481929779053,18.427172422409058,24.14449954032898,37.213308811187744,42.815160512924194,46.910276889801025,52.41659092903137,"unknown",58.77248811721802,60.81613826751709,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.67899703979492,"unknown","unknown",73.94744396209717,""
"7a35b75",-211.3249397277832,"unknown",-204.87797093391418,-198.83626198768616,0.0,5.86648154258728,10.242077589035034,16.197028160095215,2436.74946975708,2444.0535142421722,2450.469700574875,2457.2649314403534,"unknown",2464.2217252254486,2466.472258090973,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",2473.381540775299,"unknown","unknown",2479.5861468315125,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
