"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-221.10165119171143,"unknown",-215.05501222610474,-208.1364254951477,0.0,6.488969087600708,8.18375301361084,14.731857776641846,16.491037845611572,22.97960591316223,41.710519552230835,"unknown",48.97391724586487,55.96597099304199,58.06091070175171,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.60238265991211,"unknown","unknown",71.02087926864624
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-14043.933541297913,"unknown",-14038.248163461685,-14032.529865026474,0.0,7.161344051361084,8.593443393707275,15.601866245269775,18.161699295043945,24.940619230270386,47.81365203857422,"unknown",53.55925631523132,60.07470083236694,65.96603488922119,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.62092185020447,"unknown","unknown",77.49090480804443
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-33854.31663823128,"unknown",-33848.80220079422,-33841.6801776886,0.0,6.784221410751343,8.599047899246216,14.760447263717651,19.517733573913574,26.81153178215027,31.091543436050415,"unknown",37.3413622379303,44.44602632522583,46.71291160583496,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.96405243873596,"unknown","unknown",58.9832661151886
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-101009.02193403244,"unknown",-101003.15079784393,-100995.91793370247,0.0,5.422130107879639,6.83214259147644,13.414759874343872,20.764934062957764,26.141245126724243,33.74714136123657,"unknown",40.5659556388855,45.859870195388794,47.53191924095154,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.53410363197327,"unknown","unknown",59.83458995819092
"ac6f3f6",-149.25326108932495,"unknown",-79.30754256248474,-11.005967378616333,0.0,55.57073616981506,116.2147364616394,122.85354256629944,133.66319036483765,139.79491233825684,146.25528693199158,"unknown",152.02547216415405,159.18066787719727,162.79957699775696,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",168.90705513954163,"unknown","unknown",175.87489104270935
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-27848.329901218414,"unknown",-27842.222518205643,-27836.51695728302,0.0,5.8725316524505615,29.73292374610901,35.30622696876526,47.25110101699829,54.405905961990356,79.52842569351196,"unknown",86.14502048492432,92.29932975769043,95.9455246925354,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.63380408287048,"unknown","unknown",108.68208694458008
"4e53c5c",-125.43522787094116,"unknown",-119.79275798797607,-114.29438400268555,0.0,6.527857065200806,15.104851484298706,22.107242107391357,34.076082944869995,39.62347626686096,51.25084733963013,"unknown",58.35823607444763,64.97513818740845,67.25657105445862,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.35418200492859,"unknown","unknown",81.01292729377747
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-15113.0900349617,"unknown",-15106.719112634659,-15101.065613985062,0.0,6.240961313247681,9.168241739273071,15.06346845626831,25.154871940612793,31.837944746017456,131.36482191085815,"unknown",137.6885302066803,143.00793504714966,145.61392617225647,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",151.70779490470886,"unknown","unknown",158.81927156448364
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-474.8777713775635,"unknown",-469.24222803115845,-463.71288228034973,0.0,5.8837504386901855,10.613647222518921,17.41917872428894,25.888795614242554,31.650752067565918,39.9314706325531,"unknown",46.44421195983887,53.57883310317993,56.12842416763306,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.78830122947693,"unknown","unknown",67.20370602607727
"ea8c0d6",-22459.617691516876,"unknown",-22453.38955807686,-22446.283129930496,0.0,6.951481580734253,10.089821338653564,16.303219318389893,23.65543556213379,30.232581615447998,43.99471116065979,"unknown",50.22950625419617,56.16914987564087,58.255003690719604,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.87552189826965,"unknown","unknown",70.18177103996277
"7cf831f",-263353.9466781616,"unknown",-263348.17996168137,-263341.97236680984,0.0,7.056018829345703,288.48415446281433,294.5087432861328,334.85625529289246,340.80554842948914,351.1500141620636,"unknown",358.87237215042114,365.99319314956665,397.9625701904297,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",404.9663863182068,"unknown","unknown",411.2796370983124
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-2591.375944375992,"unknown",-2584.8915383815765,-2578.651179790497,0.0,6.5311949253082275,8.502685070037842,14.722788572311401,20.823912143707275,27.08332657814026,34.98806834220886,"unknown",40.97899508476257,46.84177207946777,48.498504400253296,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",55.20054769515991,"unknown","unknown",61.387736558914185
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-1988.5490424633026,"unknown",-1982.6498775482178,-1977.2600061893463,0.0,5.797626972198486,8.505746126174927,15.345379114151001,29.38807988166809,36.12521314620972,40.486526012420654,"unknown",46.840033531188965,52.47050428390503,55.01673364639282,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.80715227127075,"unknown","unknown",67.50441575050354
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-24971.677500724792,"unknown",-24965.16631746292,-24959.499603033066,0.0,6.922110557556152,11.500097274780273,16.839549779891968,23.942306518554688,29.171945095062256,33.697407484054565,"unknown",40.6040997505188,46.41205930709839,55.17793107032776,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.957279682159424,"unknown","unknown",67.48988008499146
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","",""
