"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-16215.256471395493,-16208.576347589493,-16202.22356390953,-16194.90894818306,0.0,6.806838750839233,9.751198053359985,15.164103746414185,30.915212154388428,37.57864499092102,59.816195487976074,"unknown",66.5111300945282,72.43834018707275,80.76629090309143,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.33861589431763,"unknown","unknown",94.53396677970886
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-2138.335379600525,-2131.6722469329834,-2125.51225566864,-2120.202500104904,0.0,6.74437689781189,28.710120677947998,34.46466565132141,47.58275771141052,53.24463510513306,68.93234300613403,"unknown",75.24834680557251,81.28743100166321,83.94484615325928,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",90.13537120819092,"unknown","unknown",97.16159725189209
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-6933.495321035385,-6926.565148591995,-6920.516249656677,-6914.373852491379,0.0,7.295303106307983,559.585364818573,565.2541439533234,566.9169926643372,573.0778858661652,583.7279758453369,"unknown",589.6595723628998,596.0904040336609,597.8148503303528,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",603.6362476348877,"unknown","unknown",609.3775799274445
"ac6f3f6",-2754.9322493076324,-2748.984419107437,-2743.422837972641,-2737.1071360111237,0.0,6.393892049789429,16.068602323532104,21.29789924621582,60.98897314071655,68.16369104385376,86.57265424728394,"unknown",91.93853902816772,98.4467203617096,114.02470088005066,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.83437967300415,"unknown","unknown",127.37950921058655
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-4190.986521720886,-4184.909784555435,-4178.458625555038,-4171.698439359665,0.0,5.694163799285889,9.048287868499756,16.29842472076416,57.39464855194092,64.08402705192566,84.65133810043335,90.8621335029602,"unknown",96.95532035827637,99.01218461990356,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",106.12677335739136,"unknown","unknown",111.77597188949585
"4e53c5c",-13633.530869960785,-13627.81304693222,-13620.8072783947,-13613.861311912537,0.0,6.54722261428833,22.84851336479187,29.66350507736206,46.682944774627686,53.59855771064758,67.45905184745789,"unknown",73.98277115821838,80.14235281944275,86.71287608146667,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",93.06856513023376,"unknown","unknown",99.99219632148743
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-11766.035749912262,-11760.538259029388,-11754.17794251442,-11747.195675373077,0.0,6.4695703983306885,35.924124240875244,42.021647930145264,60.53607511520386,66.0367431640625,73.18683862686157,"unknown",79.48185467720032,85.32188963890076,89.76393747329712,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",96.08648467063904,"unknown","unknown",102.9268159866333
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
