"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-9134.867007493973,-9128.249609708786,-9121.84655880928,-9115.775557994843,0.0,5.80600905418396,10.084532737731934,18.540191888809204,32.12914180755615,38.64789891242981,56.231266498565674,"unknown",61.83193397521973,67.6240906715393,69.52965140342712,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.00209379196167,"unknown","unknown",82.21332216262817,""
"b5edd3c",-108813.94848585129,-108807.82924985886,-108801.02401518822,-108794.27991747856,0.0,7.304497003555298,12.054129362106323,19.684715509414673,39.723228931427,45.32768678665161,57.328407287597656,"unknown",64.20044589042664,71.08532428741455,72.32660484313965,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.16412234306335,"unknown","unknown",84.55296611785889,""
"374ecf8",-168908.06579613686,-168902.5121679306,-168895.61968493462,-168888.7618918419,0.0,6.988900184631348,9.5368070602417,17.14626431465149,30.471128702163696,37.16619348526001,89.46356773376465,"unknown",96.2394757270813,101.86859583854675,104.74121069908142,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",111.60400366783142,"unknown","unknown",117.0401861667633,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.635313034057617,"unknown",30.851500272750854,"unknown",64.1870424747467,"unknown","unknown","unknown",88.27118992805481,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-1299.3020932674408,-1292.8517162799835,-1286.5631868839264,-1280.4143126010895,0.0,7.116953134536743,11.30139946937561,19.837527990341187,31.658193826675415,37.78779649734497,54.07682919502258,"unknown",60.799928426742554,67.95877385139465,70.09492778778076,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.57928395271301,"unknown","unknown",82.11960554122925,""
"2541155",-8608.586662054062,-8602.335622549057,-8595.091720104218,-8588.270223379135,0.0,5.650066375732422,11.516777753829956,19.885507106781006,31.48703360557556,37.123990058898926,56.755916357040405,"unknown",62.538718461990356,68.33208203315735,155862.3166925907,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",155869.16206884384,"unknown","unknown",155875.8294365406,""
"ac6f3f6",-105064.65436124802,-105057.96757674217,-105051.63598227501,-105044.53426861763,0.0,5.605602502822876,11.320895910263062,18.449565649032593,36.00776171684265,42.87831783294678,79.44463443756104,"unknown",86.20755338668823,92.21812391281128,93.90881752967834,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.10549855232239,"unknown","unknown",104.93549966812134,""
"62447b9",-304890.86762952805,-304885.51639795303,-304878.63645625114,-304871.5200226307,0.0,7.21567440032959,9.57125449180603,17.93717360496521,35.68312382698059,41.20286583900452,86.52989220619202,93.75334405899048,"unknown",100.30827403068542,102.95320105552673,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.05701804161072,"unknown","unknown",115.97789168357849,""
"20f3e2e",-3730.9732944965363,-3723.7421782016754,-3717.335572719574,-3710.157198190689,0.0,7.0742762088775635,24.34988284111023,33.065722703933716,82.04613947868347,89.33219599723816,146.23673558235168,"unknown",151.89054536819458,159.20695757865906,160.81218719482422,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",168.0302436351776,"unknown","unknown",173.629497051239,""
"4e53c5c",-7844.696568727493,-7839.2393481731415,-7833.974523067474,-7827.1199860572815,0.0,6.1380908489227295,15.897237300872803,23.155508756637573,47.25290083885193,53.21387982368469,77.37662506103516,83.36346817016602,"unknown",90.58257365226746,92.62291955947876,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.98161888122559,"unknown","unknown",105.54388880729675,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-86.51433324813843,-79.9841411113739,-73.35480666160583,-66.43282294273376,0.0,5.820955514907837,1742.1873257160187,1751.0115115642548,1820.9187400341034,1826.528211593628,1861.982727766037,"unknown",1868.828114271164,1874.9135766029358,1877.4427688121796,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",1882.875333070755,"unknown","unknown",1888.4059159755707,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-1954.429281949997,-1948.0325827598572,-1940.944298028946,-1935.1518106460571,0.0,6.053683519363403,9.823725461959839,17.168880701065063,46.33133411407471,52.20430946350098,109.38012027740479,115.08238506317139,"unknown",122.2912540435791,124.9526264667511,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.91071581840515,"unknown","unknown",137.03390216827393,""
"ea8c0d6",-708.439220905304,-702.6947135925293,-696.5654456615448,-690.9487583637238,0.0,6.5767340660095215,12.880103588104248,19.91109800338745,44.49384331703186,51.58088397979736,101.23594570159912,"unknown",107.7160279750824,114.81715512275696,126.25639390945435,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",133.05256581306458,"unknown","unknown",138.5148205757141,""
