"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","4_1","7_1"
"518e9b8",-6909.856064319611,"unknown",-6903.544796466827,-6897.516243696213,0.0,7.098992347717285,16.489001274108887,22.557446479797363,54.735111236572266,60.95655298233032,72.17510676383972,77.86195373535156,"unknown",83.2979040145874,85.48437166213989,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.13815450668335,"unknown","unknown",99.38268661499023,"","","",""
"b5edd3c",-147834.9971036911,"unknown",-147827.7779598236,-147821.02006936073,0.0,7.133288621902466,19.05588388442993,26.38664984703064,39.590336322784424,45.864951610565186,48.47404646873474,"unknown",54.485196590423584,60.90193772315979,62.88603448867798,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.92092204093933,"unknown","unknown",75.67462611198425,"","","",""
"374ecf8",-1621.696197271347,"unknown",-1439.6433894634247,-1257.5642998218536,0.0,6.852753639221191,10.264309883117676,15.807998180389404,114.5988302230835,120.60524654388428,125.4782292842865,131.07501363754272,"unknown",138.18223690986633,141.57229828834534,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",148.20708656311035,"unknown","unknown",155.18316435813904,"","","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",171.49379444122314,"unknown",180.14846563339233,"unknown",192.76872611045837,"unknown","unknown","unknown",216.63364028930664,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"8d2da97",-6504.9153299331665,"unknown",-6499.312049627304,-6493.919509887695,0.0,5.6772778034210205,11.413330554962158,17.9313383102417,27.93373703956604,34.141523599624634,39.385608196258545,45.13663935661316,"unknown",50.93574786186218,53.799633264541626,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.56279802322388,"unknown","unknown",67.88642811775208,"","","",""
"2541155",-4872.468949317932,"unknown",-4865.860566616058,-4858.915966033936,0.0,7.42632794380188,13.038134813308716,19.964021921157837,21.46756625175476,28.38213586807251,36.88775444030762,42.61626601219177,"unknown",48.53023314476013,52.38739085197449,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.707000494003296,"unknown","unknown",65.70622873306274,"","","",""
"ac6f3f6","unknown","unknown","unknown",-496781.1342728138,0.0,6.897439956665039,37.3568389415741,42.96402716636658,341.1959638595581,346.84548807144165,367.56000566482544,373.34917163848877,"unknown",378.8534007072449,2072.604962825775,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",2078.3247027397156,"unknown","unknown",2084.13339304924,-496604.14458346367,-54049.526900053024,"",""
"62447b9",-77895.16066408157,"unknown",-77888.80994272232,-77882.28777766228,0.0,6.051476240158081,10.813116550445557,17.90343427658081,28.265872716903687,33.79742693901062,38.04803490638733,43.543442726135254,"unknown",49.1502161026001,51.72778248786926,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.70677924156189,"unknown","unknown",64.06511163711548,"","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",17.811734437942505,"unknown",38.65721011161804,"unknown",51.810970067977905,"unknown","unknown","unknown",64.57075309753418,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"4e53c5c",-2591677.3957676888,"unknown",-2591669.9886722565,-2591664.0475873947,0.0,6.022972822189331,29.044827222824097,35.72925043106079,51.13018774986267,58.01389265060425,60.82950472831726,67.77893877029419,"unknown",74.20025968551636,76.55986380577087,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.03324437141418,"unknown","unknown",89.4310872554779,"","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",12.63381290435791,"unknown",35.94207835197449,"unknown",54.8095018863678,"unknown","unknown","unknown",69.48896098136902,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-15903.573909759521,"unknown",-15896.757227182388,-15890.415347337723,0.0,6.363072872161865,11.942435026168823,17.312650442123413,28.353003978729248,34.94405508041382,38.5901255607605,44.74520754814148,"unknown",51.55672073364258,54.25399947166443,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.806095123291016,"unknown","unknown",65.87255120277405,"","","",""
"ea8c0d6",-550887.1934776306,"unknown",-550881.1533997059,-550875.684192419,0.0,6.379233121871948,10.260757684707642,16.231269121170044,31.735360622406006,37.35581874847412,52.143513917922974,57.88288998603821,"unknown",64.87311601638794,67.50016283988953,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.48411679267883,"unknown","unknown",80.31978988647461,"","","",""
"7cf831f",-2423.57514834404,"unknown",-2418.042732477188,-2411.834192276001,0.0,6.8758063316345215,13.828371047973633,19.783195734024048,40.42320966720581,47.150296688079834,66.39214587211609,72.16108179092407,"unknown",77.85636043548584,80.3598997592926,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.16671419143677,"unknown","unknown",92.8699049949646,"","","",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-23315.946937561035,"unknown",-23310.571159124374,-23303.45491170883,0.0,7.346559047698975,9.667343378067017,16.14753484725952,21.07792067527771,26.880875825881958,28.79858136177063,34.936002254486084,"unknown",40.674907207489014,45.55735516548157,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.61475229263306,"unknown","unknown",59.913020610809326,"","","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",27.190855979919434,"unknown",456.1557893753052,"unknown",470.7615671157837,"unknown","unknown","unknown",647.1036689281464,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"56ee475",-302.4291398525238,"unknown",-296.42496252059937,-290.90774035453796,0.0,6.209800720214844,6586.949842453003,6592.499648571014,6607.457786560059,6614.654927968979,6636.603590726852,"unknown",6642.664259672165,6649.104528427124,6656.346740484238,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",6662.703982114792,"unknown","unknown",6669.20320558548,"","","",""
"916c172",-12253.716742992401,"unknown",-12247.503783226013,-12240.971593141556,0.0,6.455286026000977,48.29956889152527,54.045475244522095,149.08369088172913,154.9262773990631,584.0641186237335,590.1382758617401,"unknown",596.8570084571838,671.5833444595337,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",678.1548893451691,"unknown","unknown",684.7533919811249,"","","",""
"d9696dd",-31.029367208480835,"unknown",-24.950873613357544,-19.045896768569946,0.0,6.890566110610962,199.1090521812439,204.63445377349854,3566.775668859482,3572.8628618717194,3829.4451591968536,"unknown",3836.620846271515,3842.8772628307343,38400.71218800545,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",38408.079503297806,"unknown","unknown",38413.56282234192,"","","",""
"eff7ebe",-4878.852019309998,"unknown",-4873.001316070557,-4866.279356241226,0.0,6.736223220825195,9.415757894515991,16.056553840637207,23.56197452545166,30.09244990348816,36.06810688972473,42.10758590698242,"unknown",49.09963512420654,57.47078204154968,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.67345356941223,"unknown","unknown",70.95670104026794,"","","",""
