"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-24350.064959526062,"unknown",-24343.77245616913,-24336.67031645775,0.0,6.368019342422485,18.329944372177124,26.160304307937622,38.16242218017578,44.4015166759491,73.01710891723633,"unknown",78.34522700309753,85.24771094322205,89.65774273872375,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",96.05904722213745,"unknown","unknown",101.9157989025116
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-9859.495784282684,"unknown",-9853.743400812149,-9847.205220222473,0.0,6.338175058364868,9.503994703292847,16.684109687805176,28.77046775817871,34.51957106590271,49.55505681037903,56.239089250564575,"unknown",61.7523729801178,64.04708123207092,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.64558291435242,"unknown","unknown",77.68904423713684
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-4729.232270002365,"unknown",-4721.91242313385,-4716.217576503754,0.0,7.127054929733276,10.674035549163818,17.89986538887024,29.705897092819214,36.572333574295044,71.17490530014038,"unknown",77.29430961608887,82.72923469543457,90.98447012901306,97.64264225959778,103.3242769241333,110.64695644378662,"unknown",116.3308093547821,148.04525756835938,"unknown","unknown","unknown","unknown",153.66815900802612,"unknown",160.49138951301575
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-22023.646711826324,"unknown",-22018.165861606598,-22012.742896318436,0.0,6.320295572280884,7.727482795715332,14.664445877075195,16.151787042617798,22.52229642868042,45.677430152893066,"unknown",51.124109506607056,58.10163640975952,627119.9170014858,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",627126.0383427143,"unknown","unknown",627132.7538537979
"ac6f3f6",-2427.099431037903,"unknown",-2421.100549697876,-2415.4066758155823,0.0,5.614940643310547,7.393779754638672,15.585061073303223,94.34035611152649,101.18384265899658,138.09117102622986,"unknown",143.37834882736206,149.63708233833313,152.58938646316528,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",159.3561782836914,"unknown","unknown",165.3217043876648
"62447b9",-195521.11909079552,"unknown",-195514.71447443962,-195508.7265355587,0.0,5.752060651779175,7.845472097396851,17.119738578796387,42.59026002883911,47.89671540260315,66.70888614654541,73.68232893943787,"unknown",80.7914183139801,83.3553295135498,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.90248250961304,"unknown","unknown",96.6138551235199
"20f3e2e",-57912.659613370895,"unknown",-57730.448863983154,-57548.273691654205,0.0,6.053323030471802,13.548534870147705,21.00548028945923,38.88764023780823,46.18989944458008,61.67877388000488,68.07449340820312,"unknown",73.67035698890686,83.61991429328918,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",90.20317196846008,"unknown","unknown",96.7058675289154
"4e53c5c",-18819.164362430573,"unknown",-18812.257482528687,-18805.40075278282,0.0,6.001727819442749,16.072035789489746,23.956234455108643,56.8411979675293,62.89557647705078,95.43062090873718,102.2561309337616,"unknown",108.16479921340942,114.34358501434326,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",119.89099025726318,"unknown","unknown",125.44148802757263
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-15951.356757879257,"unknown",-15944.243073225021,-15938.947271823883,0.0,5.652684688568115,10.39986276626587,18.387617588043213,33.623640298843384,40.8146436214447,58.20313358306885,"unknown",63.53876209259033,70.43271160125732,81.4246928691864,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.98992443084717,"unknown","unknown",94.99935340881348
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
