"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-12733.793804168701,-12727.254413843155,-12721.864564180374,-12715.459298372269,0.0,5.366506099700928,7.774230480194092,14.591522455215454,17.028324842453003,22.57439661026001,29.47492742538452,36.54757022857666,"unknown",42.88653326034546,44.746750831604004,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",50.58233690261841,"unknown","unknown",57.583290576934814
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-44015.25387978554,-44008.29035139084,-44002.98399734497,-43996.6277885437,0.0,5.449461936950684,16.160293102264404,22.544487714767456,40.87613344192505,46.44241547584534,55.92924618721008,62.48286461830139,"unknown",69.21481609344482,110.60775589942932,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.32030391693115,"unknown","unknown",123.91144633293152
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-24812.078102350235,-24805.615440130234,-24798.605480909348,-24792.476981401443,0.0,5.878748655319214,18.36315608024597,24.55587410926819,33.22075152397156,39.80132555961609,46.410767555236816,51.61991238594055,"unknown",57.19131016731262,59.35173726081848,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.78150916099548,"unknown","unknown",70.22475624084473
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-101565.96239614487,-101560.2881026268,-101553.25498700142,-101547.55988788605,0.0,6.328000068664551,8.091928005218506,14.442607641220093,15.979236841201782,22.144286632537842,33.28812861442566,39.74248003959656,"unknown",45.37976145744324,47.435898542404175,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.012521743774414,"unknown","unknown",59.02085876464844
"ac6f3f6",-905.6839938163757,-899.623957157135,-893.903990983963,-888.5086052417755,0.0,5.790470123291016,9.950883865356445,15.532288312911987,17.470934867858887,25.347492694854736,43.63020420074463,50.09093689918518,"unknown",55.81790471076965,57.78919506072998,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.03112721443176,"unknown","unknown",68.32460451126099
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-20034.30312395096,-20027.422035217285,-20020.74138379097,-20014.625454187393,0.0,6.964406728744507,280.20577812194824,287.4766399860382,457.28195881843567,463.0794198513031,565.8417937755585,572.3320453166962,"unknown",577.9396996498108,579.6426529884338,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",585.2994341850281,"unknown","unknown",590.549329996109
"4e53c5c",-111843.44399261475,-111837.59203839302,-111831.59786367416,-111825.79807853699,0.0,5.757571220397949,24.298015832901,30.93634295463562,66.87932515144348,74.13625645637512,82.3682975769043,89.33360624313354,"unknown",96.06772065162659,99.88251161575317,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.97566223144531,"unknown","unknown",112.52100706100464
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-23053.522626638412,-23047.034373283386,-23040.700771570206,-23034.42457342148,0.0,6.817828893661499,32.989378213882446,38.62721538543701,92.11765766143799,98.70248699188232,134.795663356781,141.1755611896515,"unknown",147.31446242332458,149.57530975341797,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",155.85767674446106,"unknown","unknown",161.16916513442993
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-51887.27518558502,-51880.06013226509,-51873.15748715401,-51866.615842819214,0.0,5.52895712852478,13.685086011886597,20.160446166992188,35.82281947135925,41.59990477561951,47.703903913497925,53.51224136352539,"unknown",60.71525812149048,63.33725690841675,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.54575848579407,"unknown","unknown",77.23133277893066
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-3349.418715238571,-3344.1103868484497,-3337.4245340824127,-3330.2378158569336,0.0,5.583041667938232,11.995437383651733,17.602487564086914,73.94400453567505,80.07448697090149,109.73628497123718,116.8491439819336,"unknown",123.3628134727478,128.2511432170868,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",133.56585884094238,"unknown","unknown",139.97513818740845
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-23.38452911376953,-16.201324224472046,-9.296027898788452,-2.205065965652466,0.0,6.925907611846924,8.646959066390991,14.053466320037842,17.319517374038696,24.3077712059021,28.83619713783264,36.633538484573364,"unknown",42.074021339416504,2801.449226617813,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",2808.374730825424,"unknown","unknown",2814.7631051540375
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-4160.633122205734,-4154.895823955536,-4148.075164794922,-4141.862409353256,0.0,7.166665077209473,10.752974510192871,17.575942993164062,39.962141275405884,46.96219277381897,79.23004674911499,86.42330026626587,"unknown",92.16894483566284,94.49639344215393,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.27786755561829,"unknown","unknown",106.36091470718384
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-7779.46555185318,-7773.112051963806,-7767.500420808792,-7760.171126127243,0.0,6.7176713943481445,363.2953872680664,370.1474964618683,386.1496090888977,391.6959857940674,409.9891908168793,416.04583263397217,"unknown",422.4558334350586,424.41796922683716,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",430.9656162261963,"unknown","unknown",436.8693594932556
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-910.4737787246704,-904.4409379959106,-897.5289652347565,-891.6222667694092,0.0,6.1367597579956055,8.13365650177002,14.161800861358643,27.191693544387817,32.61086916923523,46.41814064979553,52.0631422996521,"unknown",58.97075796127319,70.24765205383301,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.29064655303955,"unknown","unknown",83.19744110107422
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-660.6364154815674,-653.8805379867554,-648.3109600543976,-642.0418503284454,0.0,5.75386118888855,10.369321823120117,17.42820715904236,30.943853616714478,37.883578300476074,43.0654354095459,49.61207556724548,"unknown",56.74788427352905,60.0786612033844,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.15893602371216,"unknown","unknown",74.27893495559692
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","",""
