"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-4023.075250864029,-4017.7475414276123,-4011.4477548599243,-4005.707498073578,0.0,6.6653828620910645,21.833213806152344,27.350290060043335,58.83023548126221,65.74678158760071,69.61144256591797,75.1942765712738,"unknown",81.63901281356812,83.16477155685425,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.30211734771729,"unknown","unknown",95.54034161567688
"b5edd3c",-55432.795090675354,-55425.54687786102,-55418.74919319153,-55412.94923830032,0.0,6.704434871673584,29.322991132736206,35.54335641860962,45.927375078201294,51.26794195175171,55.51905584335327,62.190210819244385,"unknown",68.07688450813293,69.82171654701233,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.6697244644165,"unknown","unknown",81.14053201675415
"374ecf8",-6428.470738887787,-6421.372220754623,-6415.7994067668915,-6409.040385961533,0.0,6.404000997543335,68.35995721817017,73.83252549171448,73224.19928312302,73231.13158345222,73236.33453011513,73242.24122405052,"unknown",73248.73304915428,73250.21783876419,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73257.32492041588,"unknown","unknown",73263.1441347599
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",31.51608109474182,"unknown",47.188899517059326,"unknown",70.41212129592896,"unknown","unknown","unknown",93.98451638221741,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"8d2da97",-10442.820152282715,-10435.992295980453,-10428.961580753326,-10422.469914674759,0.0,5.72436785697937,16.315397024154663,21.8034508228302,31.12061309814453,38.0409049987793,46.43097162246704,53.20361948013306,"unknown",58.54956364631653,60.91718792915344,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.30655646324158,"unknown","unknown",73.82430768013
"2541155",-82403.47467279434,-82396.54455089569,-82389.26750516891,-82383.55408453941,0.0,5.682060241699219,11.557975053787231,16.826356649398804,32.6858651638031,38.71285533905029,43.63570785522461,49.03692388534546,"unknown",54.60832977294922,57.326868295669556,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.617326498031616,"unknown","unknown",70.52089810371399
"ac6f3f6",-23.544701099395752,-17.916983366012573,-11.68556809425354,-5.093000411987305,0.0,6.31801438331604,12.779660701751709,18.144466400146484,62.76785326004028,69.56618618965149,83.61094784736633,89.31660342216492,"unknown",96.54350733757019,100.22096133232117,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.9664216041565,"unknown","unknown",111.99366235733032
"62447b9",-20241.159082889557,-20234.046412944794,-20226.94989180565,-20220.607740163803,0.0,5.612852573394775,3169.127422809601,3174.7848505973816,3190.279764652252,3197.434283733368,3207.690328359604,3213.010874271393,"unknown",3218.79697060585,3221.850856781006,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",3228.5168929100037,"unknown","unknown",3235.2955193519592
"20f3e2e",-7308.302176475525,-7301.914241313934,-7296.5156581401825,-7289.998718261719,0.0,5.75580358505249,21.861783266067505,28.536216259002686,114.90938830375671,120.60205483436584,137.94036388397217,145.12316370010376,"unknown",150.77303075790405,153.60474920272827,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",158.8668909072876,"unknown","unknown",164.63961553573608
"4e53c5c",-10019.80050444603,-10012.875924825668,-10006.179573059082,-10000.37944149971,0.0,6.861918210983276,18.10581612586975,24.370208501815796,74.18998456001282,79.97876071929932,109.80718922615051,116.47459387779236,"unknown",123.59082889556885,125.84548091888428,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",132.78341913223267,"unknown","unknown",139.77005290985107
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-425.3144030570984,-418.7963979244232,-412.89985251426697,-406.0981409549713,0.0,5.498100996017456,13.985240697860718,20.921650409698486,50.39928460121155,56.9895498752594,82.69723868370056,89.7086443901062,"unknown",96.89735317230225,98.94923186302185,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.28526043891907,"unknown","unknown",112.4865460395813
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-202.6677598953247,-195.80560970306396,-188.573397397995,-182.65718793869019,0.0,6.644744157791138,12.681695938110352,18.702584505081177,35.717525005340576,42.36733031272888,52.01703119277954,59.22635746002197,"unknown",66.25818657875061,68.37809538841248,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.76491832733154,"unknown","unknown",79.28746032714844
"ea8c0d6",-118.2248170375824,-112.17325401306152,-106.59904074668884,-101.22057032585144,0.0,6.9507269859313965,11.895415306091309,17.905076503753662,44.215336561203,51.07540965080261,71.33615207672119,78.62664222717285,"unknown",84.82391858100891,87.87393403053284,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.17776799201965,"unknown","unknown",101.44229578971863
"7cf831f",-353647.6539134979,-353641.0230548382,-353634.96791768074,-353629.0925064087,0.0,5.6828625202178955,8.35139775276184,14.683428525924683,35.53079032897949,42.62842559814453,64.42749166488647,71.2022294998169,"unknown",77.82477903366089,79.55635952949524,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.68503880500793,"unknown","unknown",92.13441872596741
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-5127.23849606514,-5120.120915412903,-5114.745805740356,-5107.784138679504,0.0,6.272326231002808,18.782195806503296,25.644050121307373,35.00130271911621,40.873045206069946,57.49757671356201,64.74818634986877,"unknown",70.82785034179688,75.49685215950012,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.75307321548462,"unknown","unknown",87.41787099838257
"56ee475",-10786.341311216354,-10780.612521886826,-10774.002596855164,-10766.785561084747,0.0,6.90242862701416,9.2360360622406,14.989933013916016,1194.3106269836426,1200.3229427337646,1211.3274595737457,1218.4952430725098,"unknown",1224.7576150894165,2458.6339824199677,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",2465.954340696335,"unknown","unknown",2472.9672195911407
"916c172",-3010.7699348926544,-3004.390282392502,-2999.059623003006,-2993.611140727997,0.0,6.780282020568848,266.120322227478,272.1832506656647,2996.439817428589,3003.984591960907,4414.607035160065,4420.02925658226,"unknown",4428.02978682518,4462.489588975906,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",4468.926606655121,"unknown","unknown",4475.463729143143
"d9696dd",-62048.82972598076,-62042.1564950943,-62035.39162564278,-62028.66190505028,0.0,6.0313684940338135,44974.81042551994,44980.61657881737,59224.462312459946,59230.865644693375,59250.28960800171,59257.36547827721,"unknown",59263.07300591469,59264.93860030174,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59271.0726313591,"unknown","unknown",59277.26004862785
"eff7ebe",-81575.60105133057,-81570.2845544815,-81563.46497011185,-81556.1865003109,0.0,5.687035799026489,8.868520975112915,15.611143827438354,38.00188755989075,44.61929178237915,50.49218940734863,56.36182427406311,"unknown",62.39884638786316,66.97581076622009,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.90891981124878,"unknown","unknown",79.9036271572113
"5d4fcbe",-1217.572553396225,-1211.6778609752655,-1205.5726447105408,-1199.9402709007263,0.0,5.444207429885864,12.4106605052948,18.00404191017151,29.793701648712158,35.88566207885742,43.908358573913574,49.731863498687744,"unknown",55.5382399559021,57.343193769454956,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.1353452205658,"unknown","unknown",69.7468204498291
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-33.47937846183777,-26.84426474571228,-20.049021005630493,-14.670883417129517,0.0,6.584468841552734,13.790153980255127,19.749715089797974,34.658539056777954,40.14729905128479,44.72850227355957,50.54988121986389,"unknown",57.24587035179138,58.64498281478882,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.38340401649475,"unknown","unknown",70.9723768234253
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-1408475.4134590626,-1408469.5740580559,-1408462.3910701275,-1408455.9003174305,0.0,5.703733205795288,13.889575242996216,20.280768394470215,54.452550172805786,60.827253341674805,126.08898949623108,132.03735089302063,"unknown",137.35982823371887,139.81922817230225,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",146.90405583381653,"unknown","unknown",154.05267095565796
