"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-1769832.0728332996,"unknown",-1769825.2374360561,-1769819.5991353989,0.0,6.4039905071258545,9.301287412643433,15.623629331588745,17.05573296546936,22.871198892593384,31.878273487091064,"unknown",37.538012981414795,44.33005356788635,392.2902750968933,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",398.83826088905334,"unknown","unknown",404.67727303504944
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-55183.309143304825,"unknown",-55175.81342077255,-55169.514120578766,0.0,6.070520639419556,8.604556560516357,14.738690853118896,27.78441858291626,34.706547021865845,46.8537392616272,53.60736060142517,"unknown",59.41700792312622,61.38633155822754,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.61573457717896,"unknown","unknown",74.50209927558899
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-51113.17471408844,"unknown",-51106.37817287445,-51101.07975316048,0.0,5.913790941238403,79.0505120754242,85.45897221565247,93.35367965698242,100.50617241859436,107.73947596549988,114.84706044197083,"unknown",121.159006357193,123.53916430473328,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",129.7057285308838,"unknown","unknown",135.01417899131775
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-7252.911836862564,"unknown",-7247.271669387817,-7240.120290279388,0.0,7.272634267807007,8.726381063461304,15.130051851272583,16.92489719390869,22.625826835632324,34.69139742851257,"unknown",41.9651141166687,49.02811145782471,177.8229579925537,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",183.70101523399353,"unknown","unknown",190.7143371105194
"ac6f3f6",-1206.9788825511932,"unknown",-1199.9015805721283,-1193.8481562137604,0.0,6.846169471740723,10.951597690582275,16.78569984436035,77.13287258148193,82.87246179580688,95.35488867759705,"unknown",100.7057147026062,106.46525192260742,108.85202312469482,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.12938857078552,"unknown","unknown",120.40028548240662
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-14872.089967012405,"unknown",-14865.543227910995,-14858.853822231293,0.0,6.255510091781616,13.639141082763672,20.626553058624268,35.47545647621155,42.1493079662323,48.29626226425171,"unknown",55.30118179321289,62.18800401687622,63.87646794319153,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.6854956150055,"unknown","unknown",75.69798302650452
"4e53c5c",-29341.538642168045,"unknown",-29335.40657877922,-29328.493287563324,0.0,6.046434640884399,13.116036891937256,18.703758239746094,31.976356029510498,38.097185134887695,47.70188784599304,"unknown",53.47547149658203,58.87425136566162,60.9514262676239,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.23129963874817,"unknown","unknown",74.1730124950409
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-43452.268320798874,"unknown",-43445.50960469246,-43439.8965883255,0.0,7.029733657836914,10.361040115356445,16.420411825180054,52.93942832946777,59.559102058410645,76.78376722335815,"unknown",83.30613446235657,89.39699363708496,92.33176469802856,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.66745471954346,"unknown","unknown",104.82119035720825
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-150.4775800704956,"unknown",-144.48568058013916,-137.53271198272705,0.0,5.594701290130615,7.4244349002838135,14.552388429641724,28.474315643310547,35.676077365875244,45.897172927856445,"unknown",52.44981265068054,59.38030195236206,61.45573616027832,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.818124294281,"unknown","unknown",72.65969157218933
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-193897.87900686264,"unknown",-193892.32110834122,-193885.51494264603,0.0,6.750910758972168,183.86943888664246,190.92684841156006,202.68928003311157,209.31593108177185,218.3601212501526,"unknown",225.0642249584198,231.47026991844177,243.06114530563354,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",249.16231179237366,"unknown","unknown",254.67412614822388
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
