"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-291.6797864437103,"unknown",-284.90359258651733,-277.89593291282654,0.0,6.611368417739868,9699.079249382019,9705.709537506104,19493.398512601852,19499.959053754807,19514.461883544922,19520.593232870102,"unknown",19527.802743673325,19529.694525957108,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",19535.70517849922,"unknown","unknown",19541.5603890419
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-2656.1008610725403,"unknown",-2649.996312856674,-2644.6658639907837,0.0,7.2116899490356445,9.329607486724854,15.24474573135376,19.335996389389038,25.376769065856934,37.256449937820435,42.86329436302185,"unknown",48.17399621009827,50.37025737762451,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",56.55304503440857,"unknown","unknown",62.267380714416504
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-22486.327962636948,"unknown",-22479.893691778183,-22474.00954914093,0.0,6.37305212020874,12.536762714385986,18.439470767974854,36.145912885665894,42.38745379447937,48.75802659988403,"unknown",54.91791343688965,61.32862639427185,69.37486124038696,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.87103819847107,"unknown","unknown",81.37835121154785
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-10836.386939525604,"unknown",-10829.519123077393,-10823.03655052185,0.0,5.6776769161224365,7.727713584899902,13.352318286895752,15.060592889785767,20.765310525894165,30.759297370910645,37.74347686767578,"unknown",43.36864948272705,46.856356382369995,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",52.69563293457031,"unknown","unknown",58.64979600906372
"ac6f3f6",-307.6747772693634,"unknown",-301.52966046333313,-295.40193605422974,0.0,9.039303541183472,34.48771524429321,40.517600297927856,64.05705738067627,69.68650913238525,79.37269949913025,85.0091700553894,"unknown",92.10881280899048,93.95515704154968,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",100.98490381240845,"unknown","unknown",107.50830221176147
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-18023.36724805832,"unknown",-18017.184144973755,-18010.68315243721,0.0,6.274115085601807,47.25185561180115,52.7652268409729,96.39446020126343,105.41320061683655,128.13808488845825,135.6865153312683,"unknown",142.17220211029053,146.35268211364746,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",152.76316356658936,"unknown","unknown",159.48042678833008
