"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","4_1","2_1"
"518e9b8",-10644.669390916824,"unknown",-10637.617172718048,-10630.681766748428,0.0,5.280604839324951,19.778303623199463,26.197788953781128,38.6578471660614,44.35884404182434,62.38495874404907,68.92923331260681,"unknown",74.337655544281,78.08752751350403,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",85.49426102638245,"unknown","unknown",92.09186601638794,"",""
"b5edd3c",-1302.9451291561127,"unknown",-1296.8902208805084,-1289.96342587471,0.0,6.583796501159668,37.472665548324585,44.652085304260254,56.27527737617493,62.01114344596863,75.35255289077759,80.78269076347351,"unknown",86.682626247406,88.95323657989502,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",95.49018716812134,"unknown","unknown",101.50034236907959,"",""
"374ecf8",-8551.211731433868,"unknown",-8544.707207202911,-8538.424978017807,0.0,5.8109352588653564,8.605043411254883,15.378036260604858,24.490158796310425,30.894756078720093,51.32507252693176,57.981045722961426,"unknown",64.19623708724976,66.18743419647217,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.91133856773376,"unknown","unknown",78.85107588768005,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",11.033754825592041,"unknown",25.768877029418945,"unknown",56.470175981521606,"unknown","unknown","unknown",84.1846055984497,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-4046.4976603984833,"unknown",-4039.0104722976685,-4033.264924287796,0.0,5.586442947387695,8.505558013916016,14.765567541122437,5092808.368607521,5092813.7895543575,5092857.631005049,"unknown",5092864.869321346,5092870.375346184,5092876.795354843,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",5092882.16830492,"unknown","unknown",5092889.016585112,95733.27709817886,""
"2541155",-167275.91626429558,"unknown",-167268.77084255219,-167262.160623312,0.0,6.546180486679077,10.061578512191772,16.75883650779724,26.230855226516724,32.820107221603394,44.279921531677246,51.65611386299133,"unknown",57.200660943984985,58.70636343955994,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.3835997581482,"unknown","unknown",70.73686790466309,"",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",26.659915447235107,"unknown",85.51071071624756,"unknown",105.05122542381287,"unknown","unknown","unknown",131.33258962631226,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"62447b9",-118726.65132808685,"unknown",-118720.68922138214,-118713.65328979492,0.0,7.155588626861572,11.709902286529541,18.667980432510376,33.81882357597351,40.33866739273071,79.39072680473328,85.83189940452576,"unknown",92.34880876541138,119.21676445007324,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",124.61104774475098,"unknown","unknown",130.20383024215698,"",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",10.867379426956177,"unknown",44.25513505935669,"unknown",66.72824549674988,"unknown","unknown","unknown",81.95318484306335,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
