"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","3_1","2_1"
"518e9b8",-18277.230138778687,"unknown",-18271.254961013794,-18265.493641376495,0.0,6.929029941558838,43574.55548119545,43581.298307180405,43594.44697189331,43599.816487550735,43606.80559682846,"unknown",43612.104697942734,43618.99847316742,43623.12121939659,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",43630.21696352959,"unknown","unknown",43635.585557222366,"",""
"b5edd3c",-24585.832214832306,"unknown",-24580.238954544067,-24574.724239587784,0.0,6.780052661895752,9.595835208892822,16.394320964813232,25.4216947555542,30.93289828300476,40.47882604598999,"unknown",47.862135887145996,53.650511264801025,55.599294900894165,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.103841066360474,"unknown","unknown",67.19088625907898,"",""
"374ecf8",-2778.036775827408,"unknown",-2771.6448781490326,-2764.979975938797,0.0,7.733118534088135,10.28675389289856,16.3803493976593,29.17643094062805,35.44134473800659,60.31399464607239,65.77806782722473,"unknown",72.22819590568542,74.59315824508667,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.454922914505,"unknown","unknown",86.63185620307922,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",29.4672212600708,"unknown",45.654650926589966,"unknown",79.42071914672852,"unknown","unknown","unknown",94.43705701828003,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-1221.605630159378,"unknown",-1216.007120847702,-1208.8093724250793,0.0,6.653501987457275,9.845458745956421,16.002362728118896,24.475024461746216,31.02107286453247,45.018744707107544,"unknown",50.91310429573059,56.65148186683655,58.5630738735199,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.16219782829285,"unknown","unknown",70.79391527175903,"",""
"2541155",-199258.95826983452,"unknown",-199252.46712899208,-199245.44156050682,0.0,6.19426703453064,7.706253290176392,13.088266611099243,22.542972564697266,28.66907000541687,37.54893755912781,"unknown",44.39644145965576,51.49147272109985,57.52720904350281,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.33414149284363,"unknown","unknown",70.52237892150879,"",""
"ac6f3f6",-82956.14846467972,"unknown",-82950.65496730804,-82944.62595176697,0.0,6.15289831161499,10.578705787658691,17.377366065979004,42.51068949699402,48.64852976799011,77.25127720832825,"unknown",83.73887252807617,90.14604783058167,94.39823389053345,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",100.6650903224945,"unknown","unknown",106.2223572731018,"",""
"62447b9",-473283.2750594616,"unknown",-473276.86425709724,-473271.1147944927,0.0,5.983332395553589,8.97887659072876,15.688380479812622,32.05574607849121,38.76397657394409,53.64713263511658,"unknown",60.158618450164795,66.78295493125916,69.05730175971985,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.77894139289856,"unknown","unknown",82.27022528648376,"",""
"20f3e2e",-1423.572863817215,"unknown",-1417.0920491218567,-1411.6167986392975,0.0,6.584271430969238,13.01775574684143,19.62060832977295,56.643747329711914,63.52572202682495,94.35630249977112,"unknown",101.03672409057617,106.24918818473816,109.40832781791687,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",115.69336557388306,"unknown","unknown",122.17633414268494,"",""
"4e53c5c",-13035.083394050598,"unknown",-13028.03330874443,-13022.855279922485,0.0,7.000296115875244,16.05978536605835,22.01209545135498,40.879523515701294,46.738093852996826,115.64188861846924,121.61207056045532,"unknown",127.82127380371094,129.5726408958435,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",136.7014389038086,"unknown","unknown",143.48138976097107,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-104439.42051935196,"unknown",-104433.18187069893,-104427.06781435013,0.0,5.617727994918823,13.12950849533081,18.675809621810913,57.52972626686096,63.044923543930054,87.09498858451843,"unknown",92.97084259986877,99.08409476280212,117.57854080200195,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",123.08514499664307,"unknown","unknown",128.3888487815857,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-6231.360820531845,"unknown",-6226.096434593201,-6219.8530123233795,0.0,5.679598093032837,10.639200925827026,16.486027717590332,28.938795804977417,36.13525986671448,55.12536001205444,"unknown",61.5069363117218,68.17452239990234,70.42159056663513,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.67092895507812,"unknown","unknown",82.06488037109375,"",""
"ea8c0d6",-219780.870085001,"unknown",-219774.55257034302,-219769.2753856182,0.0,6.344274997711182,10.654909372329712,16.146913290023804,36.18520760536194,43.452969551086426,140.45942425727844,147.70146465301514,"unknown",153.7791223526001,155.52490234375,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",162.19895672798157,"unknown","unknown",168.39427042007446,"",""
"7cf831f",-36113.067618370056,"unknown",-36106.65149450302,-36100.94177865982,0.0,6.321282386779785,9.7867751121521,16.909320831298828,40.97585201263428,46.543482065200806,79.36536502838135,"unknown",86.092777967453,91.47534227371216,101.97183156013489,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",107.51862215995789,"unknown","unknown",113.88137865066528,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
