"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-20514.752784013748,"unknown",-20507.61464357376,-20502.192551374435,0.0,5.910839796066284,8.21255898475647,13.995277643203735,24.64305806159973,31.699894189834595,37.484830379486084,43.34598708152771,"unknown",49.132580518722534,51.023547410964966,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.2398841381073,"unknown","unknown",63.682170152664185
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-13142.367758274078,"unknown",-13135.710101604462,-13128.718650817871,0.0,5.475861549377441,10.171688795089722,16.64584517478943,28.332760334014893,35.30447196960449,69.9947817325592,"unknown",77.23212790489197,83.53987431526184,85.51781058311462,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.44356799125671,"unknown","unknown",98.74733471870422
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-113596.58474993706,"unknown",-113589.7667889595,-113582.71648001671,0.0,6.697958469390869,8.899399757385254,14.192622661590576,18.58685851097107,25.204976320266724,51.19662570953369,57.979512214660645,"unknown",63.79709720611572,65.76391887664795,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.22885084152222,"unknown","unknown",77.34488129615784
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-20471.266092300415,"unknown",-20464.93833708763,-20459.029543876648,0.0,7.166500806808472,13.589800834655762,20.799853324890137,52.93179225921631,59.793564319610596,76.25651812553406,"unknown",82.04910111427307,87.46826338768005,89.48090243339539,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.28033566474915,"unknown","unknown",100.88849997520447
"4e53c5c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-863.2276377677917,"unknown",-857.1083590984344,-851.1203536987305,0.0,5.984652757644653,8.045026779174805,14.894294738769531,21.286189079284668,27.9946391582489,37.04581379890442,"unknown",42.29591107368469,49.143279790878296,50.91086530685425,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.04435348510742,"unknown","unknown",63.346043825149536
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-3916.573027610779,"unknown",-3911.2827157974243,-3904.465057373047,0.0,5.792104959487915,8.039173603057861,14.09257984161377,29.289380073547363,35.788325786590576,51.14589190483093,58.2735960483551,"unknown",63.89779043197632,67.0093936920166,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.97266864776611,"unknown","unknown",80.13946533203125
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-376.80719542503357,"unknown",-370.5430037975311,-363.22944045066833,0.0,5.24367094039917,13.300357580184937,19.979016304016113,30.483107328414917,37.64162588119507,55.66000509262085,"unknown",62.591774225234985,68.47295904159546,110.74715876579285,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",116.28111243247986,"unknown","unknown",121.85410165786743
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
