"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","3_1","2_1"
"518e9b8",-19875.424803972244,"unknown",-19669.021265745163,-19599.326515197754,0.0,6.069700717926025,13.390559911727905,21.752145051956177,44.052284717559814,49.44956374168396,59.547197580337524,65.31450128555298,"unknown",70.8120653629303,73.30608296394348,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",79.7544219493866,"unknown","unknown",86.58599495887756,"",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",10.53262734413147,"unknown",37.31771469116211,"unknown",52.613975286483765,"unknown","unknown","unknown",67.92709636688232,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",10.344292163848877,"unknown",34.76996302604675,"unknown",49.59521961212158,"unknown","unknown","unknown",63.978604793548584,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",10.44013261795044,"unknown",34.79895234107971,"unknown",52.458874464035034,"unknown","unknown","unknown",68.67724323272705,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-13021.428716421127,"unknown",-13014.550162315369,-13007.938578128815,0.0,5.998055458068848,10.748148918151855,19.003275632858276,48.87845540046692,54.59840440750122,61.898030519485474,"unknown",68.41091322898865,74.83757901191711,77.23529982566833,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",84.33840727806091,"unknown","unknown",90.44809341430664,"",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",11.375603675842285,"unknown",42.35510611534119,"unknown",73.24236488342285,"unknown","unknown","unknown",86.08208870887756,"unknown",101.58572268486023,"unknown","unknown","unknown",115.844491481781,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",15.810149431228638,"unknown",55.6826274394989,"unknown",87.91782283782959,"unknown","unknown","unknown",103.27062559127808,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",14.850855827331543,"unknown",47.09318232536316,"unknown",147.8261284828186,"unknown","unknown","unknown",163.33699893951416,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",23.298269271850586,"unknown",132.92892789840698,"unknown",171.6297628879547,"unknown","unknown","unknown",188.07043051719666,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",19.016146421432495,"unknown",48.82863450050354,"unknown",71.20466208457947,"unknown","unknown","unknown",92.63387131690979,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",16.171252489089966,"unknown",80.56130075454712,"unknown",181.67722415924072,"unknown","unknown","unknown",197.89342880249023,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
