"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-20330.64296388626,"unknown",-20324.029230594635,-20316.975816726685,0.0,7.093384027481079,10.338020086288452,16.89073371887207,36.825796365737915,43.958322525024414,56.55664324760437,"unknown",63.75670123100281,69.20177125930786,71.66259932518005,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",78.49896311759949,"unknown","unknown",85.61276745796204
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-15463.62473988533,"unknown",-15457.137853860855,-15451.220986127853,0.0,6.730525493621826,14.343295097351074,21.12207579612732,23.669581174850464,29.666558742523193,56.88418412208557,62.94392728805542,"unknown",69.00651550292969,71.67031812667847,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",78.7992594242096,"unknown","unknown",85.93461012840271
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-5983.313818216324,"unknown",-5976.128675222397,-5969.993444681168,0.0,5.423535585403442,16.921321630477905,23.214009284973145,39.57724952697754,45.72711753845215,52.71502661705017,"unknown",59.14411234855652,64.57874703407288,66.34290814399719,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.23303318023682,"unknown","unknown",79.93414998054504
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-6512.37805056572,"unknown",-6505.843460559845,-6500.296866893768,0.0,6.452930688858032,9.782658338546753,16.46978998184204,18.02348017692566,23.901020765304565,32.44326877593994,"unknown",38.017524003982544,43.535094022750854,45.01020169258118,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",51.95398831367493,"unknown","unknown",59.07873177528381
"ac6f3f6",-28.368143320083618,"unknown",-22.795884132385254,-17.56027913093567,0.0,6.294166564941406,14.119293451309204,20.066789865493774,70.39112567901611,77.81611108779907,98.86223864555359,"unknown",104.67215418815613,110.04775357246399,113.95439648628235,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.83327317237854,"unknown","unknown",128.18255949020386
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-28417.621896505356,"unknown",-28409.879045963287,-28401.50602221489,0.0,6.059163331985474,33.407191038131714,39.26837372779846,73.59415340423584,80.66343975067139,97.38326096534729,104.66549968719482,"unknown",111.10710954666138,113.32514500617981,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",119.06145095825195,"unknown","unknown",125.79758381843567
"4e53c5c",-13622.34286236763,"unknown",-13615.71295785904,-13610.111916780472,0.0,6.440959692001343,13.341520309448242,19.395215034484863,33.744399309158325,40.24149537086487,52.89723515510559,59.13822555541992,"unknown",66.01977586746216,69.09732103347778,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",75.66323566436768,"unknown","unknown",82.07381749153137
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-27973.245159626007,"unknown",-27966.490664243698,-27959.868204832077,0.0,7.088077068328857,29.760183811187744,35.25187277793884,55.00188851356506,60.36165809631348,89.8132700920105,"unknown",95.61057710647583,102.80480909347534,104.56855511665344,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",109.75722479820251,"unknown","unknown",115.82160186767578
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-530452.9539546967,"unknown",-530445.8864774704,-530438.9349951744,0.0,6.076737880706787,12.821348905563354,19.441651344299316,37.190393924713135,43.95169997215271,59.82022190093994,"unknown",66.95003509521484,73.55103898048401,75.94702553749084,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.46035242080688,"unknown","unknown",87.78560900688171
"ea8c0d6",-114578.98035216331,"unknown",-114573.38345837593,-114566.35686945915,0.0,7.057518720626831,9.628000497817993,15.122921466827393,26.04289412498474,31.84459114074707,51.51913261413574,"unknown",58.75955653190613,64.79965782165527,67.51180601119995,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.15581369400024,"unknown","unknown",79.84067749977112
"7cf831f",-24510.51572751999,"unknown",-24504.303738117218,-24498.4908182621,0.0,6.11505126953125,820.3485774993896,826.9257082939148,985.6397426128387,992.4731185436249,1032.0248701572418,1038.8594148159027,"unknown",1045.7963271141052,1076.0231845378876,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1083.3287980556488,"unknown","unknown",1090.4477858543396
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-1331.765502691269,"unknown",-1324.9699976444244,-1318.841332435608,0.0,5.988175868988037,10.788004875183105,17.415956497192383,25.543296098709106,31.943677186965942,57.00978374481201,62.86274695396423,"unknown",69.9588770866394,71.28573298454285,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.96269822120667,"unknown","unknown",83.50980997085571
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-210.24358081817627,"unknown",-204.7319140434265,-197.69587898254395,0.0,6.0359907150268555,14.940714597702026,20.244736909866333,29.467721462249756,36.649969816207886,43.662095069885254,50.67853331565857,"unknown",57.68072533607483,59.778600454330444,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.89529991149902,"unknown","unknown",73.91628956794739
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-12.734952688217163,"unknown",-7.134044885635376,-1.3356995582580566,0.0,6.881120443344116,13.046301364898682,20.11872410774231,29.29604458808899,36.0653018951416,42.800923347473145,"unknown",49.61533999443054,54.9922399520874,57.24720215797424,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.392115116119385,"unknown","unknown",69.2547390460968
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-7005.000548362732,"unknown",-6998.119346618652,-6987.798864364624,0.0,5.872631788253784,29.934227228164673,36.61236238479614,45.88142991065979,51.972755432128906,65.44055676460266,"unknown",72.71455574035645,78.39200615882874,81.21142601966858,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.88908672332764,"unknown","unknown",92.25637793540955
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-9822.270249843597,"unknown",-9816.068412065506,-9810.269520282745,0.0,6.805786609649658,8.736242055892944,15.608117818832397,34.16605567932129,40.45541501045227,45.37469124794006,51.72801232337952,"unknown",58.527491092681885,60.605093002319336,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.23594903945923,"unknown","unknown",71.74074196815491
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-104.45248317718506,"unknown",-98.12848019599915,-91.78998756408691,0.0,5.472474575042725,7.004036903381348,13.160389184951782,25.90552306175232,31.620906829833984,86.03778100013733,93.32197380065918,"unknown",99.64709234237671,101.4669828414917,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",107.88776779174805,"unknown","unknown",114.4250054359436
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
