"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-9630.649876117706,"unknown",-9624.773751020432,-9617.980767011642,0.0,5.579347610473633,7.002030611038208,15.287025451660156,21.194583415985107,27.461665153503418,32.56682538986206,"unknown",38.53268623352051,45.562676191329956,125.96453261375427,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.63653826713562,"unknown","unknown",137.4670066833496
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-319976.7408566475,"unknown",-319970.18870949745,-319963.5363099575,0.0,6.340857982635498,8.542245149612427,16.901747226715088,23.495625972747803,28.992793321609497,34.13265299797058,"unknown",40.571396827697754,47.02746105194092,49.0047767162323,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.48085165023804,"unknown","unknown",60.958675384521484
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-2823.2677993774414,"unknown",-2817.1267416477203,-2811.884514808655,0.0,6.852694511413574,8.380472660064697,15.488564252853394,16.947089433670044,23.19393014907837,29.863454818725586,"unknown",36.74913740158081,42.619590044021606,44.28614616394043,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",51.43873834609985,"unknown","unknown",57.76547694206238
"ac6f3f6",-15.999895811080933,"unknown",-9.285585641860962,-3.2721428871154785,0.0,6.951075553894043,8.91155195236206,15.93462347984314,23.181101322174072,28.55473256111145,36.94470405578613,"unknown",43.60639262199402,50.319302558898926,52.651679039001465,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.924248695373535,"unknown","unknown",65.90854859352112
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-8297.526861906052,"unknown",-8291.59173488617,-8285.403215408325,0.0,6.612052917480469,12.448565483093262,21.188790559768677,33.767651081085205,40.232097864151,49.322080850601196,"unknown",54.71224546432495,60.59483242034912,64.55545854568481,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.18015480041504,"unknown","unknown",77.5217432975769
"4e53c5c",-28.92998242378235,"unknown",-21.76473069190979,-16.355334043502808,0.0,7.128643035888672,13.58374285697937,20.768497228622437,30.8679256439209,37.0657844543457,51.58599305152893,"unknown",57.36591577529907,63.97864007949829,65.56313848495483,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.89049029350281,"unknown","unknown",77.60135388374329
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-12692.003816127777,"unknown",-12685.527934074402,-12680.189590454102,0.0,6.956387758255005,11.137476921081543,19.359439373016357,36.128912925720215,42.40237474441528,50.0030734539032,"unknown",55.73578238487244,62.776580572128296,65.16204118728638,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.89629244804382,"unknown","unknown",77.53777742385864
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
