"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-1428.6251730918884,"unknown",-1422.3579051494598,-1416.2482206821442,0.0,6.491031885147095,7.971681833267212,15.496682167053223,517.2759885787964,523.9913921356201,529.123040676117,"unknown",534.8284885883331,541.1304144859314,573.3374402523041,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",580.305513381958,"unknown","unknown",586.5492768287659
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-61596.70642066002,"unknown",-61590.64242863655,-61583.80017590523,0.0,7.030367851257324,8.811473608016968,16.602718353271484,35.04624342918396,41.62884187698364,53.548542976379395,"unknown",59.63062071800232,65.29644536972046,66.69481825828552,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.24504470825195,"unknown","unknown",80.05019354820251
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-4549.13627743721,"unknown",-4542.865606307983,-4536.996400356293,0.0,7.260879993438721,11.554617643356323,20.095688343048096,25.098729848861694,31.83530831336975,36.38584232330322,"unknown",42.171968936920166,48.807820320129395,290.0269045829773,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",296.3365955352783,"unknown","unknown",303.05962657928467
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-5259.069213151932,"unknown",-5253.1045615673065,-5247.236079216003,0.0,5.483443021774292,7.646914005279541,16.19503355026245,25.726268529891968,32.51148581504822,36.4088077545166,"unknown",41.582772970199585,47.546282052993774,50.06366848945618,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",55.789204120635986,"unknown","unknown",62.959850549697876
"ac6f3f6",-15.511372566223145,"unknown",-8.93190860748291,-2.4911539554595947,0.0,5.435346841812134,11.763777494430542,20.15281343460083,38.48773550987244,43.949557065963745,62.81036734580994,"unknown",69.15171837806702,76.48198533058167,79.28317332267761,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.9026107788086,"unknown","unknown",92.09389066696167
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-27412.33164048195,"unknown",-27405.64893746376,-27398.82413673401,0.0,5.799782752990723,14.244491577148438,22.195807933807373,33.09853458404541,40.07521677017212,46.617302656173706,"unknown",52.24206805229187,57.92166805267334,59.7729434967041,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.27900791168213,"unknown","unknown",71.3445975780487
"4e53c5c",-3639.457802295685,"unknown",-3632.1503138542175,-3624.628103494644,0.0,5.791606664657593,13.597720623016357,21.081579208374023,38.77927088737488,46.199933767318726,50.830753564834595,"unknown",57.08865714073181,62.961087703704834,65.36713886260986,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.7708899974823,"unknown","unknown",78.02703642845154
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-10897.000901222229,"unknown",-10891.325586080551,-10884.2432346344,0.0,5.799360275268555,12.303951263427734,20.69167137145996,72.27245473861694,79.33351540565491,98.93958306312561,"unknown",104.49935507774353,110.2962372303009,112.41730046272278,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.80215239524841,"unknown","unknown",124.15494990348816
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-2979.0209307670593,"unknown",-2972.061944246292,-2966.2133615016937,0.0,7.487736940383911,11.268000602722168,19.701433420181274,34.11505961418152,41.22178888320923,45.851529598236084,"unknown",52.249611377716064,58.17487549781799,60.83781886100769,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.6363251209259,"unknown","unknown",73.28092813491821
"ea8c0d6",-174177.60039901733,"unknown",-174172.1040008068,-174166.8068397045,0.0,7.063737154006958,9.170734405517578,17.32838797569275,37.764488220214844,43.07098031044006,56.24392795562744,"unknown",62.09480094909668,68.38126707077026,71.12872076034546,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.69815731048584,"unknown","unknown",83.10487914085388
"7cf831f",-80432.62881159782,"unknown",-80425.35954475403,-80419.73890900612,0.0,6.524355173110962,11.594709634780884,19.023283004760742,39.33914875984192,45.697500467300415,51.50640368461609,"unknown",57.953877210617065,63.90531635284424,157.9353904724121,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",163.63379764556885,"unknown","unknown",170.7727530002594
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-662.5597198009491,"unknown",-656.3025414943695,-650.7325682640076,0.0,7.136234760284424,9.43335247039795,16.442866325378418,20.92694664001465,28.144306421279907,31.467297077178955,"unknown",37.1248733997345,42.474130392074585,1238.9238274097443,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",1246.0487563610077,"unknown","unknown",1253.0620136260986
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-10763.489084482193,"unknown",-10758.138454914093,-10752.496423006058,0.0,6.273874282836914,10.72640347480774,18.3537118434906,33.90445613861084,40.518866539001465,51.83722496032715,"unknown",57.7533917427063,64.97682046890259,76.29858899116516,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.85489058494568,"unknown","unknown",88.76566100120544
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-20894.28189086914,"unknown",-20888.681295871735,-20881.486177444458,0.0,6.258695125579834,21.349653720855713,29.960036039352417,38.83034563064575,45.63958239555359,610108.4667155743,"unknown",610114.853515625,610121.9963941574,610123.9907774925,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",610130.8268640041,"unknown","unknown",610136.5460789204
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-1090.895565032959,"unknown",-1084.8915481567383,-1078.0205481052399,0.0,6.944182395935059,10.818541526794434,18.925631284713745,29.958138465881348,36.49160933494568,44.46801781654358,"unknown",51.225083112716675,57.155380725860596,58.96378946304321,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.58247923851013,"unknown","unknown",72.39975309371948
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-17.295724868774414,"unknown",-11.746674299240112,-5.417057275772095,0.0,5.906466007232666,8.902488231658936,17.574499368667603,20.256895303726196,26.000606536865234,30.343563318252563,"unknown",37.256420850753784,44.29645276069641,195.42959117889404,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",202.85018038749695,"unknown","unknown",209.45478105545044
"2dffb9e",-12534.509521722794,"unknown",-12529.268232345581,-12523.35247683525,0.0,6.653271675109863,8.704469203948975,16.32842755317688,20.970471382141113,27.950133085250854,31.378915548324585,"unknown",37.958423376083374,44.67257356643677,46.743638038635254,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.51148247718811,"unknown","unknown",58.88872671127319
"7a35b75",-259.3333261013031,"unknown",-253.50919103622437,-246.89974355697632,0.0,5.499009847640991,13.649999141693115,20.727887868881226,62.51626920700073,68.51057958602905,72.99238872528076,"unknown",80.06053829193115,86.6532392501831,105.50953483581543,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",111.30483603477478,"unknown","unknown",118.34908080101013
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-19615.814912557602,"unknown",-19609.242901325226,-19603.541703224182,0.0,6.150736570358276,7.759099960327148,15.06893253326416,24.858968019485474,31.301693439483643,34.333410024642944,"unknown",41.51168251037598,47.078360080718994,50.550095558166504,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.437344789505005,"unknown","unknown",63.93483519554138
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-2030.3650121688843,"unknown",-2023.7641501426697,-2017.241119146347,0.0,5.984699487686157,7.644603967666626,15.677728414535522,29.312070846557617,36.129589796066284,41.86573100090027,"unknown",48.38155746459961,53.93954539299011,59.03660011291504,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.98512029647827,"unknown","unknown",71.15339231491089
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-5598.952669382095,"unknown",-5592.551536798477,-5587.255187988281,0.0,6.444490194320679,9.197454929351807,17.289873838424683,27.344329357147217,33.82956600189209,43.374666690826416,"unknown",49.07776236534119,55.82643795013428,63.379180908203125,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.29502487182617,"unknown","unknown",76.18818879127502
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-7271.729559183121,"unknown",-7265.699748277664,-7259.654549598694,0.0,6.832979679107666,77.33350872993469,84.7401773929596,96.20654845237732,103.48726534843445,107.24704551696777,"unknown",113.98624920845032,120.10331916809082,122.29283785820007,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",128.31306505203247,"unknown","unknown",135.5532627105713
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ee7f92","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89d63ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c0a644e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80f558b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-6329.405985593796,"unknown",-6322.024390935898,-6315.993294000626,0.0,5.77375602722168,7.478545904159546,14.740058183670044,25.689064502716064,31.894394636154175,35.992467403411865,"unknown",42.61590886116028,48.40077805519104,50.47646975517273,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",55.957042932510376,"unknown","unknown",62.759976625442505
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","",""
