"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","3_1"
"518e9b8",-2672.446852684021,"unknown",-2666.869439601898,-2659.7804384231567,0.0,6.634190559387207,10.577972888946533,17.42649006843567,35.215532302856445,42.15870809555054,52.86444139480591,"unknown",58.89023017883301,64.23938155174255,67.79716372489929,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.63049650192261,"unknown","unknown",80.37457919120789,"",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",11.601712942123413,"unknown",29.45613932609558,"unknown",42.25319719314575,"unknown","unknown","unknown",57.09291315078735,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"374ecf8",-1330.1816766262054,"unknown",-1324.682490348816,-1318.0615863800049,0.0,6.390166282653809,1546400.1259758472,1546408.4188160896,1546418.4753379822,1546424.8121182919,1546434.6921994686,"unknown",1546442.1826381683,1546448.213586092,1546451.2759160995,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1546457.2241649628,"unknown","unknown",1546464.266721487,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.700346946716309,"unknown",38.490333795547485,"unknown",55.7100989818573,"unknown","unknown","unknown",69.21914458274841,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-4813496.675256252,"unknown",-4813490.045671225,-4813483.851822138,0.0,6.619866371154785,38615.87308263779,38624.02163481712,38634.06124520302,38639.741164684296,38649.37649559975,38655.771245241165,"unknown",38661.413452386856,38663.882637023926,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",38670.42510056496,"unknown","unknown",38675.76108241081,"",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",10.122642755508423,"unknown",26.889089345932007,"unknown",36.270307779312134,"unknown","unknown","unknown",205.90655827522278,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",21.675416469573975,"unknown",46.43666672706604,"unknown",248.53469967842102,"unknown","unknown","unknown",265.08138251304626,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",19.153059244155884,"unknown",45.74951910972595,"unknown",88.67014789581299,"unknown","unknown","unknown",104.23956942558289,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",20.951265573501587,"unknown",67.82082271575928,"unknown",95.56300258636475,"unknown","unknown","unknown",109.94681572914124,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",14.370866537094116,"unknown",38.126768589019775,"unknown",79.8677225112915,"unknown","unknown","unknown",94.27684736251831,"unknown",110.78745770454407,"unknown","unknown","unknown",123.82823872566223,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",11.690717458724976,"unknown",30.523197412490845,"unknown",56.73338198661804,"unknown","unknown","unknown",69.8987033367157,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c",-451580.5401301384,"unknown",-451573.5331990719,-451566.52983927727,0.0,6.947254419326782,107.39215683937073,114.22130107879639,128.80543613433838,135.66021037101746,147.71012592315674,"unknown",153.81474089622498,160.1664581298828,162.22162222862244,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",168.97871732711792,"unknown","unknown",175.89035272598267,"",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",14.03917670249939,"unknown",37.03915572166443,"unknown",50.91469120979309,"unknown","unknown","unknown",65.7978687286377,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",10.280918598175049,"unknown",27.294430255889893,"unknown",62.5944447517395,"unknown","unknown","unknown",77.7993233203888,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",13.425983905792236,"unknown",61.77199649810791,"unknown",462.01030921936035,"unknown","unknown","unknown",478.3985605239868,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"41f497c",-6459.0162262916565,"unknown",-6452.345015048981,-6445.3530604839325,0.0,7.19852352142334,11.438114881515503,19.230959177017212,32.9221134185791,40.203453063964844,55.855804681777954,"unknown",62.881709575653076,69.01018071174622,70.78727293014526,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.52486371994019,"unknown","unknown",83.48060894012451,"",""
"f496964",-87.97458529472351,"unknown",-81.73992538452148,-75.79839634895325,0.0,6.822405815124512,162.65203595161438,171.16746473312378,177.40706706047058,183.3936984539032,188.31934690475464,194.61353945732117,"unknown",199.94666290283203,201.8964068889618,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",208.8157765865326,"unknown","unknown",215.32560992240906,"",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-243521.0760896206,"unknown",-243515.73059034348,-243509.7814593315,0.0,7.464181423187256,14.892247676849365,22.626856565475464,37.001898765563965,43.94853377342224,74.35275626182556,"unknown",81.85887145996094,87.99695754051208,89.38952231407166,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",95.61434841156006,"unknown","unknown",101.70691895484924,"",""
