"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-2550.8732340335846,"unknown",-2544.8361201286316,-2539.2084200382233,0.0,6.660971164703369,8.2768714427948,16.018195867538452,22.518709897994995,29.330795764923096,244.75246214866638,"unknown",251.84421014785767,257.2524666786194,258.4639000892639,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",264.0672483444214,"unknown","unknown",269.86994647979736
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-364044.080398798,"unknown",-364037.45446300507,-364031.3106238842,0.0,5.373122930526733,8.682002544403076,16.699549913406372,22.131280183792114,28.988045692443848,45.4757764339447,"unknown",51.24396228790283,58.323039293289185,77.32146739959717,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.84657573699951,"unknown","unknown",89.39366340637207
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-2119.3446531295776,"unknown",-2113.8189873695374,-2107.210899591446,0.0,5.426030397415161,6.767375946044922,14.753667831420898,16.812143087387085,22.077769994735718,34.11680603027344,"unknown",39.54254651069641,44.938658475875854,47.40612196922302,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.18658661842346,"unknown","unknown",61.06136727333069
"ac6f3f6",-40.470561504364014,"unknown",-35.082608699798584,-27.898704290390015,0.0,13.62946367263794,15.803104639053345,30.651658058166504,54.84256672859192,69.66250896453857,222.5426788330078,229.44396424293518,"unknown",236.13827681541443,238.25844287872314,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",244.1125771999359,"unknown","unknown",250.16362118721008
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-57044.85514187813,"unknown",-57039.34852743149,-57033.23089885712,0.0,7.243551731109619,10.01478099822998,17.006271839141846,23.713932991027832,29.478033781051636,38.86975622177124,"unknown",44.490824937820435,51.24872827529907,52.958019971847534,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.698622703552246,"unknown","unknown",66.64127898216248
"4e53c5c",-2565.014633178711,"unknown",-2557.817040205002,-2550.567807674408,0.0,6.667287349700928,12.886405944824219,21.34542679786682,30.38817834854126,35.92219614982605,43.59930610656738,50.09465956687927,"unknown",56.51133108139038,58.601876735687256,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.64982891082764,"unknown","unknown",72.55467748641968
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-49703.641372442245,"unknown",-49697.27201604843,-49691.0174946785,0.0,6.800710678100586,13.886046171188354,22.1450297832489,33.347633600234985,39.871002197265625,55.8085834980011,"unknown",62.17177057266235,69.35832071304321,72.39789199829102,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.5956859588623,"unknown","unknown",85.3199782371521
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
